city,state,avg_aqi,max_aqi,pct_bad_days,pct_crisis_days,aqi_volatility,winter_avg_aqi,summer_avg_aqi,monsoon_avg_aqi,winter_pct_bad_days,first_year,last_year,early_aqi,recent_aqi,aqi_change,trend_direction,state_population,population_millions,total_vehicles,vehicles_per_1000_people,pct_ev_vehicles,pct_motor_cars,respiratory_cases,respiratory_deaths,case_fatality_rate,total_monitoring_days,data_reliability,aqi_severity_score,market_attractiveness_score,health_impact_score,urgency_score,composite_priority_score,priority_tier,estimated_annual_health_cost,addressable_households
Byrnihat,Assam,235.1,442.0,64.88,28.61,95.4,311.3,211.6,166.1,95.62,2022,2025,377.0,241.3,-135.7,Improving,6789666.666666667,6.79,154288.0,22.72,2.51,10.28,9886.0,83.0,0.84,692,Medium,76.4,12.3,100.0,57.8,59.3,Tier 2 - Early Expansion,154946573.0,377204.0
Bhiwadi,Rajasthan,206.1,483.0,49.42,18.75,94.9,264.9,199.0,150.9,76.85,2017,2025,358.1,157.2,-200.9,Improving,25861666.666666668,25.86,356605.0,13.79,4.34,18.03,3206.0,18.0,0.56,2592,High,66.2,33.9,100.0,48.4,58.7,Tier 2 - Early Expansion,44050440.0,1436759.0
Hajipur,Bihar,152.7,427.0,29.41,4.75,83.5,220.6,155.0,83.9,61.29,2020,2025,98.8,196.6,97.9,Worsening,19836000.0,19.84,328700.0,16.57,2.52,6.4,4158.0,27.0,0.65,1768,High,48.8,23.4,100.0,80.6,58.1,Tier 2 - Early Expansion,42328440.0,440800.0
Kanpur,Uttar Pradesh,157.4,497.0,26.46,14.25,107.2,251.5,124.7,100.1,60.58,2015,2025,173.4,100.2,-73.2,Improving,67305333.33333333,67.31,988861.0,14.69,3.47,12.85,41962.0,13.0,0.03,3515,High,51.6,56.0,100.0,40.3,57.1,Tier 2 - Early Expansion,440321253.0,1495674.0
Varanasi,Uttar Pradesh,147.6,500.0,29.2,11.94,107.3,212.3,138.9,93.0,52.24,2015,2025,197.7,63.1,-134.6,Improving,67305333.33333333,67.31,988861.0,14.69,3.47,12.85,41962.0,13.0,0.03,3408,High,51.4,56.0,100.0,36.1,56.0,Tier 2 - Early Expansion,412906080.0,1495674.0
Hapur,Uttar Pradesh,155.9,477.0,27.71,10.32,98.3,213.7,135.5,108.7,49.94,2018,2025,355.4,124.3,-231.1,Improving,67305333.33333333,67.31,988861.0,14.69,3.47,12.85,41962.0,13.0,0.03,2180,High,51.5,56.0,100.0,35.0,55.8,Tier 2 - Early Expansion,436125053.0,1495674.0
Patna,Bihar,186.7,488.0,41.86,16.77,104.0,289.6,163.2,105.5,85.76,2015,2025,298.5,161.9,-136.6,Improving,19836000.0,19.84,328700.0,16.57,2.52,6.4,4158.0,27.0,0.65,3125,High,61.6,23.4,100.0,52.9,55.6,Tier 2 - Early Expansion,51753240.0,1102000.0
Singrauli,Madhya Pradesh,176.7,426.0,40.06,11.78,91.7,242.4,178.7,100.8,70.02,2017,2025,312.1,155.6,-156.5,Improving,29831000.0,29.83,392176.0,13.15,4.77,13.24,6654.0,38.0,0.57,2471,High,57.9,35.9,100.0,45.0,55.5,Tier 2 - Early Expansion,78384120.0,1657278.0
Muzaffarpur,Bihar,184.8,500.0,41.76,18.72,112.3,296.4,146.8,97.8,85.63,2015,2025,310.2,132.5,-177.7,Improving,19836000.0,19.84,328700.0,16.57,2.52,6.4,4158.0,27.0,0.65,3163,High,61.3,23.4,100.0,52.8,55.5,Tier 2 - Early Expansion,51226560.0,1102000.0
Agra,Uttar Pradesh,143.1,500.0,23.68,11.25,103.2,222.2,114.7,93.3,52.45,2015,2025,162.8,92.7,-70.1,Improving,67305333.33333333,67.31,988861.0,14.69,3.47,12.85,41962.0,13.0,0.03,3458,High,48.6,56.0,100.0,36.2,55.1,Tier 2 - Early Expansion,400317480.0,1495674.0
Begusarai,Bihar,200.4,474.0,43.25,23.41,124.0,295.3,169.3,115.0,74.04,2022,2025,222.5,141.1,-81.5,Improving,19836000.0,19.84,328700.0,16.57,2.52,6.4,4158.0,27.0,0.65,615,Medium,64.0,23.4,100.0,47.0,55.0,Tier 2 - Early Expansion,55550880.0,1102000.0
Moradabad,Uttar Pradesh,157.5,500.0,26.15,11.58,97.3,211.1,139.4,116.2,44.56,2017,2025,305.1,85.7,-219.3,Improving,67305333.33333333,67.31,988861.0,14.69,3.47,12.85,41962.0,13.0,0.03,2444,High,50.9,56.0,100.0,32.3,54.9,Tier 2 - Early Expansion,440601000.0,1495674.0
Sri Ganganagar,Rajasthan,194.3,441.0,42.22,11.35,80.1,230.3,197.5,152.4,60.53,2023,2025,192.2,158.2,-34.0,Improving,25861666.666666668,25.86,356605.0,13.79,4.34,18.03,3206.0,18.0,0.56,758,Medium,58.8,33.9,100.0,40.3,54.1,Tier 2 - Early Expansion,41528387.0,1436759.0
Chhapra,Bihar,186.2,452.0,40.5,18.73,104.6,272.5,168.9,97.4,74.05,2021,2025,330.3,112.7,-217.7,Improving,19836000.0,19.84,328700.0,16.57,2.52,6.4,4158.0,27.0,0.65,1084,High,61.0,23.4,100.0,47.0,54.0,Tier 2 - Early Expansion,51614640.0,1102000.0
Saharsa,Bihar,178.7,454.0,39.05,17.43,105.1,265.3,147.9,96.1,74.75,2021,2025,277.8,117.9,-159.9,Improving,19836000.0,19.84,328700.0,16.57,2.52,6.4,4158.0,27.0,0.65,1050,High,59.4,23.4,100.0,47.4,53.5,Tier 2 - Early Expansion,49535640.0,440800.0
Faridabad,Haryana,200.4,496.0,44.89,19.92,106.3,289.8,176.9,132.7,82.06,2015,2025,199.0,137.0,-62.0,Improving,17198333.333333332,17.2,254937.0,14.82,2.08,29.86,1190.0,7.0,0.59,3379,High,64.7,30.0,69.2,51.0,53.3,Tier 2 - Early Expansion,15898400.0,955463.0
Rohtak,Haryana,156.5,498.0,30.78,9.39,94.7,218.9,142.6,101.3,56.63,2016,2025,145.1,178.1,33.0,Worsening,17198333.333333332,17.2,254937.0,14.82,2.08,29.86,1190.0,7.0,0.59,2768,High,52.1,30.0,69.2,68.3,53.2,Tier 2 - Early Expansion,12415667.0,382185.0
Howrah,West Bengal,127.3,451.0,23.25,4.93,88.6,224.8,90.8,74.3,66.02,2016,2025,97.6,129.0,31.4,Worsening,43817666.666666664,43.82,295242.0,6.74,2.48,9.02,2114.0,2.0,0.09,2959,High,44.0,47.8,48.2,73.0,52.8,Tier 2 - Early Expansion,17940813.0,973726.0
Bhagalpur,Bihar,171.9,448.0,34.69,15.19,100.5,266.0,139.7,91.3,75.16,2021,2025,283.4,111.1,-172.3,Improving,19836000.0,19.84,328700.0,16.57,2.52,6.4,4158.0,27.0,0.65,1257,High,56.8,23.4,100.0,47.6,52.6,Tier 2 - Early Expansion,47650680.0,440800.0
Hanumangarh,Rajasthan,174.0,447.0,30.38,12.55,92.3,243.3,154.7,129.4,61.14,2023,2025,191.7,134.8,-57.0,Improving,25861666.666666668,25.86,356605.0,13.79,4.34,18.03,3206.0,18.0,0.56,757,Medium,53.8,33.9,100.0,40.6,52.5,Tier 2 - Early Expansion,37189600.0,574704.0
Bahadurgarh,Haryana,165.5,476.0,33.5,10.06,93.9,232.8,152.1,110.6,63.44,2019,2024,154.8,167.6,12.8,Stable,17198333.333333332,17.2,254937.0,14.82,2.08,29.86,1190.0,7.0,0.59,2018,High,54.2,30.0,69.2,61.7,52.3,Tier 2 - Early Expansion,13129667.0,382185.0
Siwan,Bihar,192.2,488.0,37.56,19.75,105.1,255.1,171.5,117.6,59.89,2021,2025,331.9,131.5,-200.4,Improving,19836000.0,19.84,328700.0,16.57,2.52,6.4,4158.0,27.0,0.65,876,Medium,60.7,23.4,100.0,39.9,52.1,Tier 2 - Early Expansion,53277840.0,440800.0
Katihar,Bihar,173.8,465.0,35.1,17.05,108.7,259.9,133.5,105.0,69.71,2021,2025,311.1,85.2,-225.9,Improving,19836000.0,19.84,328700.0,16.57,2.52,6.4,4158.0,27.0,0.65,1097,High,57.2,23.4,100.0,44.9,52.1,Tier 2 - Early Expansion,48177360.0,440800.0
Churu,Rajasthan,138.6,452.0,18.45,3.88,72.7,205.1,128.4,86.5,49.34,2023,2025,130.0,145.2,15.2,Stable,25861666.666666668,25.86,356605.0,13.79,4.34,18.03,3206.0,18.0,0.56,748,Medium,40.4,33.9,100.0,54.7,51.3,Tier 2 - Early Expansion,29623440.0,0.0
Gurugram,Haryana,188.8,486.0,42.4,13.25,91.4,257.2,177.1,125.5,75.51,2018,2025,283.8,190.0,-93.8,Improving,17198333.333333332,17.2,254937.0,14.82,2.08,29.86,1190.0,7.0,0.59,2408,High,60.4,30.0,69.2,47.8,51.0,Tier 2 - Early Expansion,14978133.0,955463.0
